sentence,labelled,vectors
Fantastic New Holiday Lodges Available To Buy In Scotland. Book A Viewing Now!,Fantastic New Holiday Lodges Available To Buy In COUNTRY. Book A Viewing Now!,Fantastic New Holiday Lodges Available To Buy In Scotland. Book A Viewing Now!
Aruba north of the coast of Venezuela,Aruba north of the coast of Venezuela,Aruba north of the coast of Venezuela
"Together with Bonaire and Curaçao, Aruba forms a group referred to as the ABC islands","Together with Bonaire and Curaçao, Aruba forms a group referred to as the ABC islands","Together with Bonaire and Curaçao, Aruba forms a group referred to as the ABC islands"
"Collectively, Aruba and the other Dutch islands in the Caribbean are often called the Dutch Caribbean","Collectively, Aruba and the other Dutch islands in the Caribbean are often called the Dutch Caribbean","Collectively, Aruba and the other Dutch islands in the Caribbean are often called the Dutch Caribbean"
"Aruba is one of the four countries that form the Kingdom of the Netherlands, along with the Netherlands, Curaçao, and Sint Maarten; the citizens of these countries are all Dutch nationals","Aruba is one of the four countries that form the Kingdom of the Netherlands, along with the Netherlands, Curaçao, and Sint Maarten; the citizens of these countries are all Dutch nationals","Aruba is one of the four countries that form the Kingdom of the Netherlands, along with the Netherlands, Curaçao, and Sint Maarten; the citizens of these countries are all Dutch nationals"
"Aruba has no administrative subdivisions, but, for census purposes, is divided into eight regions","Aruba has no administrative subdivisions, but, for census purposes, is divided into eight regions","Aruba has no administrative subdivisions, but, for census purposes, is divided into eight regions"
"Unlike much of the Caribbean region, Aruba has a dry climate and an arid, cactus-strewn landscape","Unlike much of the Caribbean region, Aruba has a dry climate and an arid, cactus-strewn landscape","Unlike much of the Caribbean region, Aruba has a dry climate and an arid, cactus-strewn landscape"
"Antigua and Barbuda is a sovereign state in the Americas, lying between the Caribbean Sea and the Atlantic Ocean","Antigua and Barbuda is a sovereign state in the Americas, lying between the Caribbean Sea and the Atlantic Ocean","Antigua and Barbuda is a sovereign state in the Americas, lying between the Caribbean Sea and the Atlantic Ocean"
"It consists of two major islands, Antigua and Barbuda, and a number of smaller islands ","It consists of two major islands, Antigua and Barbuda, and a number of smaller islands ","It consists of two major islands, Antigua and Barbuda, and a number of smaller islands "
"5° of latitude, or 30 nautical miles, north of the main Antigua airport), Antigua and Barbuda are in the middle of the Leeward Islands, part of the Lesser Antilles, roughly at 17°N of the equator","5° of latitude, or 30 nautical miles, north of the main Antigua airport), Antigua and Barbuda are in the middle of the Leeward Islands, part of the Lesser Antilles, roughly at 17°N of the equator","5° of latitude, or 30 nautical miles, north of the main Antigua airport), Antigua and Barbuda are in the middle of the Leeward Islands, part of the Lesser Antilles, roughly at 17°N of the equator"
"The United Arab Emirates , is a federal absolute monarchy in Western Asia at the southeast end of the Arabian Peninsula on the Persian Gulf, bordering Oman to the east and Saudi Arabia to the south, as well as sharing maritime borders with Qatar to the west and Iran to the north","The United Arab Emirates , is a federal absolute monarchy in Western Asia at the southeast end of the Arabian Peninsula on the Persian Gulf, bordering Oman to the east and Saudi Arabia to the south, as well as sharing maritime borders with Qatar to the west and Iran to the north","The United Arab Emirates , is a federal absolute monarchy in Western Asia at the southeast end of the Arabian Peninsula on the Persian Gulf, bordering Oman to the east and Saudi Arabia to the south, as well as sharing maritime borders with Qatar to the west and Iran to the north"
One of the monarchs is selected as the President of the United Arab Emirates,One of the monarchs is selected as the President of the United Arab Emirates,One of the monarchs is selected as the President of the United Arab Emirates
"Afghanistan , officially the Islamic Republic of Afghanistan, is a landlocked country located within South Asia and Central Asia","Afghanistan , officially the Islamic Republic of Afghanistan, is a landlocked country located within South Asia and Central Asia","Afghanistan , officially the Islamic Republic of Afghanistan, is a landlocked country located within South Asia and Central Asia"
"Afghanistan is bordered by Pakistan in the south and east; Iran in the west; Turkmenistan, Uzbekistan, and Tajikistan in the north; and China in the far northeast - it also borders Gilgit-Baltistan in this region which is claimed by India","Afghanistan is bordered by Pakistan in the south and east; Iran in the west; Turkmenistan, Uzbekistan, and Tajikistan in the north; and China in the far northeast - it also borders Gilgit-Baltistan in this region which is claimed by India","Afghanistan is bordered by Pakistan in the south and east; Iran in the west; Turkmenistan, Uzbekistan, and Tajikistan in the north; and China in the far northeast - it also borders Gilgit-Baltistan in this region which is claimed by India"
"Human habitation in Afghanistan dates back to the Middle Paleolithic Era, and the country's strategic location along the Silk Road connected it to the cultures of the Middle East and other parts of Asia","Human habitation in Afghanistan dates back to the Middle Paleolithic Era, and the country's strategic location along the Silk Road connected it to the cultures of the Middle East and other parts of Asia","Human habitation in Afghanistan dates back to the Middle Paleolithic Era, and the country's strategic location along the Silk Road connected it to the cultures of the Middle East and other parts of Asia"
The political history of the modern state of Afghanistan began with the Hotak and Durrani dynasties in the 18th century,The political history of the modern state of Afghanistan began with the Hotak and Durrani dynasties in the 18th century,The political history of the modern state of Afghanistan began with the Hotak and Durrani dynasties in the 18th century
"In the late 19th century, Afghanistan became a buffer state in the ""Great Game"" between British India and the Russian Empire","In the late 19th century, Afghanistan became a buffer state in the ""Great Game"" between British India and the Russian Empire","In the late 19th century, Afghanistan became a buffer state in the ""Great Game"" between British India and the Russian Empire"
A series of coups in the late 1970s was followed by a series of wars that devastated much of Afghanistan which began when the country became a socialist state under the influence of the Soviet Union during the Soviet–Afghan War,A series of coups in the late 1970s was followed by a series of wars that devastated much of Afghanistan which began when the country became a socialist state under the influence of the Soviet Union during the Soviet–Afghan War,A series of coups in the late 1970s was followed by a series of wars that devastated much of Afghanistan which began when the country became a socialist state under the influence of the Soviet Union during the Soviet–Afghan War
"Following the 2001 September 11 attacks in the United States, the Taliban was forcibly removed by the NATO-led coalition and Afghanistan's previous political structure was replaced with a more pro-Western, democratically-elected government","Following the 2001 September 11 attacks in the United States, the Taliban was forcibly removed by the NATO-led coalition and Afghanistan's previous political structure was replaced with a more pro-Western, democratically-elected government","Following the 2001 September 11 attacks in the United States, the Taliban was forcibly removed by the NATO-led coalition and Afghanistan's previous political structure was replaced with a more pro-Western, democratically-elected government"
Afghanistan is a unitary presidential Islamic republic with Islam as an official state religion,Afghanistan is a unitary presidential Islamic republic with Islam as an official state religion,Afghanistan is a unitary presidential Islamic republic with Islam as an official state religion
"Afghanistan's economy is the world's 108th largest, with a GDP of $64","Afghanistan's economy is the world's 108th largest, with a GDP of $64","Afghanistan's economy is the world's 108th largest, with a GDP of $64"
"Algeria , officially the People's Democratic Republic of Algeria, is a sovereign state in North Africa on the Mediterranean coast","Algeria , officially the People's Democratic Republic of Algeria, is a sovereign state in North Africa on the Mediterranean coast","Algeria , officially the People's Democratic Republic of Algeria, is a sovereign state in North Africa on the Mediterranean coast"
"With an area of 2,381,741 square kilometres , Algeria is the tenth-largest country in the world, and the largest in Africa","With an area of 2,381,741 square kilometres , Algeria is the tenth-largest country in the world, and the largest in Africa","With an area of 2,381,741 square kilometres , Algeria is the tenth-largest country in the world, and the largest in Africa"
"Algeria is bordered to the northeast by Tunisia, to the east by Libya, to the west by Morocco, to the southwest by the Western Saharan territory, Mauritania, and Mali, to the southeast by Niger, and to the north by the Mediterranean Sea","Algeria is bordered to the northeast by Tunisia, to the east by Libya, to the west by Morocco, to the southwest by the Western Saharan territory, Mauritania, and Mali, to the southeast by Niger, and to the north by the Mediterranean Sea","Algeria is bordered to the northeast by Tunisia, to the east by Libya, to the west by Morocco, to the southwest by the Western Saharan territory, Mauritania, and Mali, to the southeast by Niger, and to the north by the Mediterranean Sea"
"Ancient Algeria has known many empires and dynasties, including ancient Numidians, Phoenicians, Carthaginians, Romans, Vandals, Byzantines, Umayyads, Abbasids, Idrisid, Aghlabid, Rustamid, Fatimids, Zirid, Hammadids, Almoravids, Almohads, Spaniards, Ottomans and the French colonial empire","Ancient Algeria has known many empires and dynasties, including ancient Numidians, Phoenicians, Carthaginians, Romans, Vandals, Byzantines, Umayyads, Abbasids, Idrisid, Aghlabid, Rustamid, Fatimids, Zirid, Hammadids, Almoravids, Almohads, Spaniards, Ottomans and the French colonial empire","Ancient Algeria has known many empires and dynasties, including ancient Numidians, Phoenicians, Carthaginians, Romans, Vandals, Byzantines, Umayyads, Abbasids, Idrisid, Aghlabid, Rustamid, Fatimids, Zirid, Hammadids, Almoravids, Almohads, Spaniards, Ottomans and the French colonial empire"
Berbers are the indigenous inhabitants of Algeria,Berbers are the indigenous inhabitants of Algeria,Berbers are the indigenous inhabitants of Algeria
Algeria is a regional and middle power,Algeria is a regional and middle power,Algeria is a regional and middle power
"According to OPEC Algeria has the 16th largest oil reserves in the world and the second largest in Africa, while it has the 9th largest reserves of natural gas","According to OPEC Algeria has the 16th largest oil reserves in the world and the second largest in Africa, while it has the 9th largest reserves of natural gas","According to OPEC Algeria has the 16th largest oil reserves in the world and the second largest in Africa, while it has the 9th largest reserves of natural gas"
